0.000000000000000000e+00	1.350000000000000000e+02
2.100000000000000000e+01	1.080000000000000000e+02
4.200000000000000000e+01	8.400000000000000000e+01
6.300000000000000000e+01	6.300000000000000000e+01
8.400000000000000000e+01	4.500000000000000000e+01
1.050000000000000000e+02	3.000000000000000000e+01
1.260000000000000000e+02	1.800000000000000000e+01
1.470000000000000000e+02	9.000000000000000000e+00
1.680000000000000000e+02	3.000000000000000000e+00
1.890000000000000000e+02	0.000000000000000000e+00
2.110000000000000000e+02	0.000000000000000000e+00
2.320000000000000000e+02	3.000000000000000000e+00
2.530000000000000000e+02	9.000000000000000000e+00
2.740000000000000000e+02	1.800000000000000000e+01
2.950000000000000000e+02	3.000000000000000000e+01
3.160000000000000000e+02	4.500000000000000000e+01
3.370000000000000000e+02	6.300000000000000000e+01
3.580000000000000000e+02	8.400000000000000000e+01
3.790000000000000000e+02	1.080000000000000000e+02
4.000000000000000000e+02	1.350000000000000000e+02
